"Game","# Owned","# Unique","# Cards","Badge Lvl","Set Price","Price Diff","Card Avg","Booster Avg","Booster %","Emote Avg","BG Avg","Avg Qty","Discount","Added","AppId"
"Lex Mortis","0","0","5","0","8.40","8.40","1.70","1.54","9.7","0.16","0.16","32","4.45","2017-01-18","348450"
"Leylines","0","0","7","0","68.10","68.10","9.72","1.92","80.2","11.20","27.79","7","33.83","2019-01-12","585820"
"LIBERATED","0","0","6","0","3.51","3.51","0.60","1.81","-200.0","0.82","1.43","29","1.59","2020-08-10","875310"
"Liberté","0","0","6","0","2.97","2.97","0.49","3.68","-644.4","39.93","1.92","11","1.26","2023-01-20","1590160"
"Libra of the Vampire Princess","0","0","8","0","8.84","8.84","1.10","4.01","-265.0","18.01","2.20","33","3.84","2017-06-30","604170"
"Library Of Ruina","0","0","16","0","8.68","8.68","0.55","0.71","-30.0","0.44","0.38","462","3.84","2021-06-13","1256670"
"Lichdom: Battlemage","0","0","6","0","2.75","2.75","0.44","0.44","0.0","0.49","0.49","32","1.15","2014-08-26","261760"
"Lichtspeer","0","0","6","0","11.81","11.81","1.98","N/A","0.0","28.50","299.86","6","5.16","2016-09-30","434740"
"Lichtspeer: Double Speer Edition","0","0","6","0","9.56","9.56","1.59","N/A","0.0","0.55","0.22","10","4.17","2019-09-09","994040"
"LiEat","0","0","7","0","5.44","5.44","0.77","0.77","0.0","0.16","0.27","75","2.69","2016-02-10","373770"
"Life Goes On","0","0","6","0","2.36","2.36","0.38","0.27","28.6","0.22","7.74","49","0.99","2014-06-19","250050"
"Life is Feudal: Your Own","0","0","13","0","3.40","3.40","0.27","0.16","40.0","0.55","0.33","205","1.65","2016-02-21","290080"
"Life is Hard","0","0","5","0","2.80","2.80","0.55","0.27","50.0","0.22","0.82","13","1.43","2015-11-04","414080"
"Life is Strange 2","0","0","5","0","2.31","2.31","0.44","0.44","0.0","0.44","0.44","623","1.15","2018-09-26","532210"
"Life is Strange Remastered","0","0","14","0","7.52","7.52","0.55","0.55","0.0","0.82","0.44","119","3.35","2022-02-02","1265920"
"Life is Strange: Before the Storm","0","0","7","0","4.56","4.56","0.66","0.60","8.3","0.33","0.44","169","2.31","2017-08-31","554620"
"Life is Strange: Before the Storm Remastered","0","0","14","0","6.92","6.92","0.49","0.55","-11.1","0.82","0.38","120","3.02","2022-02-02","1265930"
"Life is Strange: Double Exposure","0","0","12","0","6.70","6.70","0.55","0.71","-30.0","0.55","0.44","241","2.86","2024-10-31","1874000"
"Life is Strange: True Colors","0","0","14","0","5.27","5.27","0.38","0.66","-71.4","0.49","0.33","364","2.36","2021-09-10","936790"
"Life is Strange™","0","0","6","0","4.17","4.17","0.71","0.66","7.7","0.49","3.30","484","1.87","2015-01-29","319630"
"Life of Delta","0","0","5","0","5.49","5.49","1.10","2.47","-125.0","10.27","25.70","11","2.86","2023-03-16","1376760"
